2025-03-09 15:29:53 info: Congratulations, your extension "Embold" is now active!
2025-03-09 15:29:53 info: tempDirectory : c:\Users\Sneha\.vscode\extensions\embold-vscode.embold-0.1.8\temp
2025-03-09 15:30:03 info: Extraction complete for source: c:\Users\Sneha\.vscode\extensions\embold-vscode.embold-0.1.8\resources\embold-scanner-archive.zip, destination: c:\Users\Sneha\.vscode\extensions\embold-vscode.embold-0.1.8\temp
2025-03-09 15:30:03 info: Extension installed on machine OS : win32
2025-03-09 15:30:03 info: Fetched the issues from DB
2025-03-09 15:30:04 info: Embold extension version response:{"hasSupport":false,"version":"0.1.6","changeNotes":"<div> <p>Release Date: 09 Oct, 2023 <br><span>Bug fixes and improvements.</span></p> </div>"}
2025-03-09 15:30:04 info: Current installed embold extension version : 0.1.8
2025-03-09 15:30:04 info: Latest embold extension version on marketplace : 0.1.6
2025-03-09 15:30:06 info: Java version installed on machine : 
openjdk version "21.0.2" 2024-01-16 LTS
OpenJDK Runtime Environment Temurin-21.0.2+13 (build 21.0.2+13-LTS)
OpenJDK 64-Bit Server VM Temurin-21.0.2+13 (build 21.0.2+13-LTS, mixed mode, sharing)

2025-03-09 16:28:18 info: Row(s) deleted
2025-03-09 16:28:18 info: Row(s) deleted
2025-03-09 16:28:18 info: Row(s) deleted
2025-03-09 16:28:18 info: Row(s) deleted
2025-03-09 16:28:18 info: Row(s) deleted
2025-03-09 16:28:18 info: Row(s) deleted
2025-03-09 16:28:18 info: Row(s) deleted
2025-03-09 16:28:18 info: Row(s) deleted
2025-03-09 16:28:19 info: Row(s) deleted
2025-03-09 16:28:19 info: Row(s) deleted
2025-03-09 16:28:19 info: Row(s) deleted
2025-03-09 16:28:19 info: Row(s) deleted
2025-03-09 16:28:19 info: Row(s) deleted
2025-03-09 16:28:19 info: Row(s) deleted
2025-03-09 16:28:19 info: Row(s) deleted
2025-03-09 16:28:19 info: Row(s) deleted
2025-03-09 16:28:19 info: Row(s) deleted
2025-03-09 16:28:19 info: Row(s) deleted
2025-03-09 16:28:19 info: Row(s) deleted
2025-03-09 16:28:19 info: Row(s) deleted
2025-03-09 16:28:19 info: Row(s) deleted
2025-03-09 16:28:19 info: Row(s) deleted
2025-03-09 16:28:19 info: Row(s) deleted
2025-03-09 16:28:19 info: Row(s) deleted
2025-03-09 16:28:19 info: Row(s) deleted
2025-03-09 16:28:19 info: Row(s) deleted
2025-03-09 16:28:19 info: Row(s) deleted
2025-03-09 16:28:19 info: Row(s) deleted
2025-03-09 16:28:19 info: Row(s) deleted
2025-03-09 16:28:19 info: Row(s) deleted
2025-03-09 16:28:19 info: Row(s) deleted
2025-03-09 16:28:19 info: Row(s) deleted
2025-03-09 16:28:19 info: Row(s) deleted
2025-03-09 16:28:19 info: Row(s) deleted
2025-03-09 16:28:19 info: Row(s) deleted
2025-03-09 16:28:19 info: Row(s) deleted
2025-03-09 16:28:19 info: Row(s) deleted
2025-03-09 16:28:19 info: Row(s) deleted
2025-03-09 16:28:19 info: Row(s) deleted
2025-03-09 16:29:39 info: Row(s) deleted
2025-03-09 16:29:39 info: Row(s) deleted
2025-03-09 16:29:41 info: Row(s) deleted
2025-03-09 16:29:41 info: Row(s) deleted
2025-03-09 16:29:43 info: Row(s) deleted
2025-03-09 16:30:14 info: Row(s) deleted
2025-03-09 16:30:14 info: Row(s) deleted
2025-03-09 16:36:29 info: Row(s) deleted
2025-03-09 16:36:29 info: Row(s) deleted
2025-03-09 16:36:29 info: Row(s) deleted
2025-03-09 16:36:29 info: Row(s) deleted
2025-03-09 16:36:30 info: Row(s) deleted
2025-03-09 16:36:30 info: Row(s) deleted
2025-03-09 16:36:30 info: Row(s) deleted
2025-03-09 16:39:23 info: Row(s) deleted
2025-03-09 16:39:23 info: Row(s) deleted
2025-03-09 16:39:23 info: Row(s) deleted
2025-03-09 16:41:25 info: Row(s) deleted
2025-03-09 16:41:25 info: Row(s) deleted
2025-03-09 16:41:27 info: Row(s) deleted
2025-03-09 16:41:27 info: Row(s) deleted
2025-03-09 16:50:28 info: Row(s) deleted
2025-03-09 16:50:28 info: Row(s) deleted
2025-03-09 16:50:28 info: Row(s) deleted
2025-03-09 16:54:01 info: Row(s) deleted
2025-03-09 16:54:01 info: Row(s) deleted
2025-03-09 16:54:01 info: Row(s) deleted
2025-03-09 16:54:01 info: Row(s) deleted
2025-03-09 16:54:02 info: Row(s) deleted
2025-03-09 17:03:13 info: Row(s) deleted
2025-03-09 17:03:13 info: Row(s) deleted
2025-03-09 17:03:13 info: Row(s) deleted
2025-03-09 17:03:14 info: Row(s) deleted
2025-03-09 17:03:14 info: Row(s) deleted
2025-03-09 17:03:14 info: Row(s) deleted
2025-03-09 17:09:31 info: Row(s) deleted
2025-03-09 17:09:31 info: Row(s) deleted
2025-03-09 17:09:31 info: Row(s) deleted
2025-03-09 17:09:31 info: Row(s) deleted
2025-03-09 17:09:31 info: Row(s) deleted
2025-03-09 17:09:46 info: Row(s) deleted
2025-03-09 17:09:46 info: Row(s) deleted
2025-03-09 17:09:55 info: Row(s) deleted
2025-03-09 17:11:16 info: Row(s) deleted
2025-03-09 17:11:21 info: Row(s) deleted
2025-03-09 17:11:21 info: Row(s) deleted
2025-03-09 17:11:21 info: Row(s) deleted
2025-03-09 17:11:21 info: Row(s) deleted
2025-03-09 17:19:31 info: Row(s) deleted
2025-03-09 17:19:31 info: Row(s) deleted
2025-03-09 17:19:33 info: Row(s) deleted
2025-03-09 17:19:36 info: Row(s) deleted
2025-03-09 17:19:40 info: Row(s) deleted
2025-03-09 17:35:05 info: Row(s) deleted
2025-03-09 17:36:34 info: Row(s) deleted
2025-03-09 17:36:34 info: Row(s) deleted
2025-03-09 17:36:34 info: Row(s) deleted
2025-03-09 17:36:34 info: Row(s) deleted
2025-03-09 17:36:34 info: Row(s) deleted
2025-03-09 17:36:34 info: Row(s) deleted
2025-03-09 17:36:34 info: Row(s) deleted
2025-03-09 17:36:34 info: Row(s) deleted
2025-03-09 17:36:34 info: Row(s) deleted
2025-03-10 11:05:17 info: Congratulations, your extension "Embold" is now active!
2025-03-10 11:05:17 info: tempDirectory : c:\Users\Sneha\.vscode\extensions\embold-vscode.embold-0.1.8\temp
2025-03-10 11:05:34 info: Extraction complete for source: c:\Users\Sneha\.vscode\extensions\embold-vscode.embold-0.1.8\resources\embold-scanner-archive.zip, destination: c:\Users\Sneha\.vscode\extensions\embold-vscode.embold-0.1.8\temp
